experiment_name,algorithm,scenario,topology,num_packets,packet_size_bytes,t_round_ms,cooldown_ms,lambda_div,point_budget,total_packets_sent,total_packets_received,total_packets_lost,total_packets_unaccounted,packet_loss_rate_percent,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,total_path_switches,wall_clock_seconds
lowest_hop_count__path_failure_recovery__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_hop_count,path_failure_recovery,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,25939,7181,0,18758,0.0,40724.0516,40442.0047,76712.0523,90379.0103,40.0002,94525.0108,0,5.188
lowest_latency__path_failure_recovery__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_latency,path_failure_recovery,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,25939,7181,0,18758,0.0,40724.0516,40442.0047,76712.0523,90379.0103,40.0002,94525.0108,0,5.425
random__path_failure_recovery__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,random,path_failure_recovery,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,25939,7530,0,18409,0.0,41584.9011,41506.0284,77172.0053,89401.0059,40.0002,94503.0065,63,5.425
round_robin__path_failure_recovery__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,round_robin,path_failure_recovery,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,25939,6559,0,19380,0.0,40113.115,39868.0273,75703.0516,88780.0042,40.0002,94686.0108,76,4.766
sapex__path_failure_recovery__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,sapex,path_failure_recovery,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,25939,7859,0,18080,0.0,41281.3901,40926.0048,78747.0058,91040.006,40.0002,94321.0061,55,5.547
lowest_hop_count__shared_bottleneck__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_hop_count,shared_bottleneck,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,337917,1116,0,336801,0.0,48762.3698,48791.0033,95183.0063,100550.0066,310.0002,105014.0069,0,13.022
lowest_latency__shared_bottleneck__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_latency,shared_bottleneck,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,337917,1092,0,336825,0.0,49662.5546,49240.0033,95408.0068,100974.0066,310.0002,104899.008,0,12.974
random__shared_bottleneck__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,random,shared_bottleneck,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,337917,1164,0,336753,0.0,47122.7534,46800.0031,94496.0061,99256.0064,307.0002,104620.0068,190,14.232
round_robin__shared_bottleneck__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,round_robin,shared_bottleneck,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,337917,474,0,337443,0.0,38077.5533,33101.0017,89955.0082,96449.0076,355.0002,97062.0082,239,13.103
sapex__shared_bottleneck__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,sapex,shared_bottleneck,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,337917,1172,0,336745,0.0,47830.5845,47666.0042,94336.0062,98955.0065,311.0002,104281.0068,151,14.137
lowest_hop_count__thundering_herd__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_hop_count,thundering_herd,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,242342,1088,0,241254,0.0,50898.7939,49134.0041,105219.0114,112244.0128,274.0002,114729.0131,0,10.605
lowest_latency__thundering_herd__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_latency,thundering_herd,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,242342,1088,0,241254,0.0,50898.7939,49134.0041,105219.0114,112244.0128,274.0002,114729.0131,0,10.773
random__thundering_herd__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,random,thundering_herd,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,242342,1019,0,241323,0.0,49928.4812,47628.0053,105393.012,110724.0126,184.0002,114024.013,203,11.432
round_robin__thundering_herd__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,round_robin,thundering_herd,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,242342,1033,0,241309,0.0,52601.6188,52110.0047,103381.0101,111228.0085,292.0002,114449.0104,269,11.576
sapex__thundering_herd__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,sapex,thundering_herd,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,242342,1280,0,241062,0.0,48815.7784,45497.0053,103766.0119,111305.0118,292.0002,114194.0131,161,12.061
