flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
Wave1-OVGU-to-CMU,23893,92,0,23801,0.0,35839500,113649.01,2.5228,16,514.0002,113398.0129,48638.9947,37746.0044,107715.0123,113398.0129,35387.7333
Wave1-TUB-to-MIT,23893,391,0,23502,0.0,35839500,114227.01,2.5101,14,377.0002,113337.0121,37320.4768,29399.0033,98095.0073,106776.0114,30346.2781
Wave1-LMU-to-Columbia,23893,154,0,23739,0.0,35839500,113910.01,2.517,16,350.0002,113507.013,52078.2721,52354.0061,105968.0121,112830.012,34301.4195
Wave1-KIT-to-USC,23893,278,0,23615,0.0,35839500,114872.01,2.496,17,292.0002,114194.0131,48808.7463,44568.0052,107518.0123,113180.013,34968.6935
Wave2-ETHZ-to-CMU,23893,91,0,23802,0.0,35839500,111934.01,2.5615,9,724.0002,109754.0084,35429.234,18907.0013,105893.0121,109754.0084,38624.7791
Wave2-Sorbonne-to-Columbia,23893,99,0,23794,0.0,35839500,110681.01,2.5905,14,53259.006,110392.0084,79123.7857,79127.0087,103925.0123,110392.0084,15258.8231
Wave3-KAIST-to-CMU,17066,175,0,16891,0.0,25599000,107994.01,1.8963,11,20433.002,102329.0085,61548.011,61856.0053,98282.0082,101496.0085,23778.6409
Wave3-NUS-to-MIT,17066,0,0,17066,0.0,25599000,0,0,8,0,0,0,0,0,0,0
Wave3-UTokyo-to-USC,17066,0,0,17066,0.0,25599000,0,0,11,0,0,0,0,0,0,0
Wave4-OVGU-to-Columbia,13653,0,0,13653,0.0,20479500,0,0,14,0,0,0,0,0,0,0
Wave4-TUB-to-CMU,13653,0,0,13653,0.0,20479500,0,0,13,0,0,0,0,0,0,0
Wave5-KIT-to-MIT,10240,0,0,10240,0.0,15360000,0,0,11,0,0,0,0,0,0,0
Wave5-ETHZ-to-USC,10240,0,0,10240,0.0,15360000,0,0,7,0,0,0,0,0,0,0
